file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\security\MIPUserPrincipal.java,br.edu.utfpr.cp.emater.midmipsystem.entity.security.MIPUserPrincipal,class,5,7,1,12,0,7,0,7,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,24,7,0,0,0,0,0,0,0,0,2,0,0,0,1,22,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\survey\CropData.java,br.edu.utfpr.cp.emater.midmipsystem.entity.survey.CropData,class,7,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\survey\Cultivar.java,br.edu.utfpr.cp.emater.midmipsystem.entity.survey.Cultivar,class,12,1,2,2,0,1,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,10,1,0,0,0,0,1,2,1,0,3,0,0,0,0,23,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\survey\CultivarData.java,br.edu.utfpr.cp.emater.midmipsystem.entity.survey.CultivarData,class,6,1,1,2,0,1,0,1,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,8,0,0,0,0,0,1,2,1,0,3,0,0,0,0,15,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\survey\Harvest.java,br.edu.utfpr.cp.emater.midmipsystem.entity.survey.Harvest,class,12,2,2,6,0,2,1,2,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,17,1,0,0,0,0,1,2,2,0,5,0,0,0,0,28,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\survey\LocationData.java,br.edu.utfpr.cp.emater.midmipsystem.entity.survey.LocationData,class,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\survey\MIDData.java,br.edu.utfpr.cp.emater.midmipsystem.entity.survey.MIDData,class,6,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\survey\ProductivityData.java,br.edu.utfpr.cp.emater.midmipsystem.entity.survey.ProductivityData,class,5,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\survey\PulverisationData.java,br.edu.utfpr.cp.emater.midmipsystem.entity.survey.PulverisationData,class,8,4,1,4,0,2,1,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,14,3,0,2,0,1,2,3,1,1,3,2,0,0,0,24,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\survey\SizeData.java,br.edu.utfpr.cp.emater.midmipsystem.entity.survey.SizeData,class,5,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,1,0
